"id","name","guard_name","created_at","updated_at"
"1","Super Admin","web","2025-12-03 11:20:17+05:30","2025-12-03 11:20:17+05:30"
"2","Employee","web","2025-12-03 11:20:17+05:30","2025-12-03 11:20:17+05:30"
"3","DG & CEO","web","2025-12-03 11:20:17+05:30","2025-12-03 11:20:17+05:30"
"4","HOD Finance","web","2025-12-03 11:20:17+05:30","2025-12-03 11:20:17+05:30"
"5","Accounts Executive HO","web","2025-12-03 11:20:17+05:30","2025-12-03 11:20:17+05:30"
"6","HOD","web","2025-12-03 11:20:17+05:30","2025-12-03 11:20:17+05:30"
"7","Chapter Head","web","2025-12-03 11:20:17+05:30","2025-12-03 11:20:17+05:30"
"8","Regional Head","web","2025-12-03 11:20:17+05:30","2025-12-03 11:20:17+05:30"
"9","Accounts Executive","web","2025-12-03 11:20:17+05:30","2025-12-03 11:20:17+05:30"
