"iec","company_name","file_number","file_date","application_type","office_id","old_name","address_line_1","address_line_2","city","district","state","pincode","gstin","membership_category","star_rating","annual_turnover","export_turnover","rcmc_valid_upto"
"0200013467","CALDERYS STEELCASTING INDIA PRIVATE LIMITED","RCMCRENEWFIEO00082368AM25","2025-02-17","Renewal of e-RCMC","3",NULL,"PLOT NO. 5","ADVENTZ INFINITY 5, BLOCK-BN, SECTOR-V, BIDHANNAGAR","KOLKATA","24 PARAGANAS NORTH","WEST BENGAL","700091","19AAFCS0189L1ZV","Premium Multi Product Group Category","-","1500000000","0","2026-03-31"
"0200013891","GLOBAL DRIED FLOWERS","RCMCEDITCFIEO113384AM24","2024-03-26","Edit Certificate Details of e-RCMC","3",NULL,"31, SHAKESPEARE SARANI, 3RD FLOOR,","ROOM NO.301-A,","KOLKATA","KOLKATA","WEST BENGAL","700017","19AADFG1106E1ZZ","One Star Export House Category","One Star Export House","140549242","0","2024-03-31"
"0200014706","BALLY JUTE COMPANY LTD","RCMCAPPLYFIEO00089870AM25","2025-03-16","Issuance of e-RCMC","3",NULL,"5, SREE CHARAN SARANI,","BALLY,","HOWRAH(W.B.)","HOWRAH","WEST BENGAL","711201","19AADCS6057M1ZS","Premium Multi Product Group Category","-","3400950000","21300000","2026-03-31"
"0200015834","CALCUTTA EXPORT COMPANY","RCMCRENEWFIEO00010807AM26","2025-04-08","Renewal of e-RCMC","3",NULL,"18, R. N. MUKHERJEE ROAD","4TH FLOOR","KOLKATA","KOLKATA","WEST BENGAL","700001","19AACFC3872C1ZN","Three Star Export House Category","Three Star Export House","1021498362.08","0","2026-03-31"
"0200017705","OSB OVERSEAS PRIVATE LIMITED","RCMCRENEWFIEO00083328AM25","2025-02-23","Renewal of e-RCMC","3",NULL,"174/31/2A, NSC BOSE ROAD","NETAJI NAGAR CONTACT NO: 9831023466","KOLKATA","KOLKATA","WEST BENGAL","700040","19AAACO4324Q1Z1","Premium Multi Product Group Category","-","356407360","0","2026-03-31"
"0200017799","LOKENATH EXPORTS","RCMCRENEWFIEO00019535AM26","2025-04-23","Renewal of e-RCMC","3",NULL,"P-65, KASBA INDUSTRIAL ESTATE,","PHASE-II,","KOLKATA","KOLKATA","WEST BENGAL","700107","19ADNPD9940N1ZS","Multi Product Group Category","-","5000000","0","2026-03-31"
"0200018299","IMC LIMITED","RCMCRENEWFIEO00033566AM26","2025-05-26","Renewal of e-RCMC","4",NULL,"UNIT NO. 10, SARVODAYA INDUSTRIAL PREMISES CO-OP SOCIETY LTD.","ANDHERI EAST","MUMBAI","MUMBAI SUBURBAN","MAHARASHTRA","400093","27AAACI6884R1ZN","Premium Multi Product Group Category","-","3245920506","0","2027-03-31"
"0200018744","ANVIL ENERGY PRIVATE LIMITED","RCMCRENEWFIEO00101691AM25","2025-03-27","Renewal of e-RCMC","3",NULL,"KRISHNA IST FLOOR,ROOM NO.102,","224,A.J.C.BOSE ROAD, CONTACT NO: 033-3058-6337","KOLKATA, W.B.","KOLKATA","WEST BENGAL","700017","19AACCA9943K1Z6","Premium Multi Product Group Category","-","3798348000","66868396","2026-03-31"
"0200018825","SUPER SMELTERS LTD","RCMCRENEWFIEO00024927AM26","2025-05-05","Renewal of e-RCMC","3",NULL,"PREMLATA, 39 SHAKESPEARE SARANI","2ND FLOOR","KOLKATA","KOLKATA","WEST BENGAL","700017","19AAFCS1116F1ZN","Premium Multi Product Group Category","-","35000000","235000000","2026-03-31"
"0201000326","NIKAN CAPILLARY SOLUTIONS PRIVATE LIMITED","RCMCAPPLYFIEO00038143AM25","2024-06-06","Issuance of e-RCMC","3",NULL,"21, AMARTOLLA STREET,","2ND FLOOR, ROOM NO.-24,","KOLKATA","KOLKATA","WEST BENGAL","700001","19AADCS5706R1ZO","Multi Product Group Category","-","0","0","2025-03-31"
